time,isomer_view,confusor_view,table_view,UI_view,total_frame,isomer_grab,confusor_grab,success_count,failure_count,x,y,z,alpha,beta,gamma
1771.703,0,0,0,81,162,0,0,0,0,5.041057,14.55098,37.40411,342.125,159.5707,357.8933
1771.717,0,0,0,81,163,0,0,0,0,5.039738,14.55009,37.405,342.4142,159.2368,357.6689
1771.731,0,0,0,81,164,0,0,0,0,5.038238,14.54929,37.4058,342.6687,158.9535,357.4385
1771.745,0,0,0,81,165,0,0,0,0,5.036529,14.54851,37.40647,342.8861,158.7982,357.1438
1771.759,0,0,0,81,166,0,0,0,0,5.034726,14.54773,37.40704,343.1007,158.7917,356.7885
1771.773,0,0,0,81,167,0,0,0,0,5.032923,14.54693,37.40748,343.3642,158.8371,356.4596
1771.787,0,0,0,81,168,0,0,0,0,5.030995,14.5461,37.40779,343.6528,158.9345,356.1931
1771.802,0,0,0,81,169,0,0,0,0,5.029015,14.54523,37.40791,343.9298,159.0616,355.9288
1771.815,0,0,0,81,170,0,0,0,0,5.026905,14.54449,37.40796,344.2378,159.219,355.6631
1771.828,0,0,0,81,171,0,0,0,0,5.024787,14.54371,37.40776,344.5116,159.4399,355.3656
1771.843,0,0,0,81,172,0,0,0,0,5.022752,14.54303,37.40732,344.7892,159.727,355.0171
1771.857,0,0,0,81,173,0,0,0,0,5.020661,14.54244,37.40676,345.094,160.0183,354.7348
1771.87,0,0,0,81,174,0,0,0,0,5.018551,14.54187,37.40602,345.3942,160.2995,354.4543
1771.884,0,0,0,81,175,0,0,0,0,5.016514,14.54128,37.40508,345.6703,160.5726,354.0994
1771.898,0,0,0,82,176,0,0,0,0,5.014511,14.54078,37.40394,345.998,160.8312,353.7435
1771.912,0,0,0,83,177,0,0,0,0,5.012643,14.54028,37.40255,346.352,161.0807,353.4579
1771.926,0,0,0,84,178,0,0,0,0,5.010855,14.53984,37.40097,346.7041,161.2939,353.1086
1771.94,0,0,0,85,179,0,0,0,0,5.009073,14.53944,37.39926,347.0272,161.5001,352.7903
1771.954,0,0,0,86,180,0,0,0,0,5.007362,14.53889,37.39727,347.3063,161.702,352.5171
1771.967,0,0,0,87,181,0,0,0,0,5.005774,14.5383,37.39515,347.6064,161.8436,352.208
1771.982,0,0,0,88,182,0,0,0,0,5.004296,14.53771,37.39293,347.9744,161.925,351.9174
1771.996,0,0,0,89,183,0,0,0,0,5.002836,14.53704,37.39051,348.406,161.95,351.691
1772.009,0,0,0,90,184,0,0,0,0,5.001384,14.53642,37.38795,348.8826,161.9469,351.4622
1772.024,0,0,0,91,185,0,0,0,0,5.000061,14.53583,37.38517,349.3127,161.9305,351.2461
1772.039,0,0,0,92,186,0,0,0,0,4.998777,14.53539,37.38232,349.69,161.8562,351.0571
1772.051,0,0,0,93,187,0,0,0,0,4.997596,14.53507,37.37929,350.0019,161.7733,350.8456
1772.065,0,0,0,94,188,0,0,0,0,4.996379,14.53482,37.37614,350.2984,161.6878,350.6314
1772.079,0,0,0,95,189,0,0,0,0,4.995171,14.5346,37.37277,350.6077,161.6457,350.4004
1772.093,0,0,0,96,190,0,0,0,0,4.994006,14.53448,37.36931,350.952,161.6378,350.1863
1772.107,0,0,0,97,191,0,0,0,0,4.992908,14.53442,37.36576,351.2846,161.6223,350.0128
1772.121,0,0,0,98,192,0,0,0,0,4.991832,14.53456,37.36213,351.6223,161.5855,349.8303
1772.135,0,0,0,99,193,0,0,0,0,4.99075,14.53484,37.35834,351.8946,161.5684,349.661
1772.148,0,0,0,100,194,0,0,0,0,4.989658,14.53521,37.35437,352.1136,161.5931,349.5504
1772.163,0,0,0,101,195,0,0,0,0,4.988472,14.53568,37.35028,352.2852,161.64,349.496
1772.177,0,0,0,102,196,0,0,0,0,4.987403,14.53622,37.34619,352.4235,161.7536,349.4406
1772.19,0,0,0,103,197,0,0,0,0,4.986236,14.53679,37.34208,352.5767,161.8989,349.4022
1772.205,0,0,0,104,198,0,0,0,0,4.985071,14.53737,37.33787,352.7144,162.1384,349.3364
1772.219,0,0,0,105,199,0,0,0,0,4.983836,14.53822,37.33363,352.8965,162.3836,349.2726
1772.232,0,0,0,106,200,0,0,0,0,4.9825,14.53913,37.32924,352.9817,162.6827,349.2839
1772.246,0,0,0,107,201,0,0,0,0,4.981121,14.54009,37.32476,353.0212,163.0207,349.3182
1772.261,0,0,0,108,202,0,0,0,0,4.979732,14.54107,37.32024,353.0766,163.3982,349.3397
1772.275,0,0,0,109,203,0,0,0,0,4.978307,14.54208,37.31564,353.1803,163.8247,349.3474
1772.287,0,0,0,110,204,0,0,0,0,4.976838,14.54314,37.31109,353.2467,164.2716,349.2863
1772.302,0,0,0,111,205,0,0,0,0,4.975347,14.54434,37.30661,353.3148,164.7373,349.2072
1772.316,0,0,0,112,206,0,0,0,0,4.973783,14.54575,37.30217,353.3925,165.2361,349.1704
1772.329,0,0,0,113,207,0,0,0,0,4.972152,14.54717,37.29777,353.4562,165.7636,349.1735
1772.344,0,0,0,114,208,0,0,0,0,4.970409,14.54851,37.29343,353.5316,166.333,349.1734
1772.358,0,0,0,115,209,0,0,0,0,4.968682,14.5499,37.28916,353.7004,166.9126,349.1679
1772.371,0,0,0,116,210,0,0,0,0,4.966908,14.55136,37.28503,353.9205,167.5382,349.1087
1772.385,0,0,0,117,211,0,0,0,0,4.965118,14.55281,37.28097,354.0994,168.2257,348.994
1772.399,0,0,0,118,212,0,0,0,0,4.963182,14.55434,37.27697,354.2598,168.9665,348.8706
1772.413,0,0,0,119,213,0,0,0,0,4.960981,14.55604,37.273,354.4035,169.8002,348.8354
1772.427,0,0,0,120,214,0,0,0,0,4.958689,14.55794,37.26894,354.4695,170.7317,348.8674
1772.441,0,0,0,121,215,0,0,0,0,4.956355,14.55998,37.26489,354.3555,171.7475,348.9374
1772.455,0,0,0,122,216,0,0,0,0,4.9541,14.56215,37.26097,354.1191,172.8295,348.9179
1772.468,0,0,0,123,217,0,0,0,0,4.951909,14.56434,37.25723,353.9514,173.9174,348.7937
1772.483,0,0,0,124,218,0,0,0,0,4.949725,14.56638,37.2537,353.8323,175.0069,348.7415
1772.497,0,0,0,125,219,0,0,0,0,4.94761,14.56837,37.25036,353.7837,176.0466,348.7818
1772.51,0,0,0,126,220,0,0,0,0,4.945512,14.57023,37.24704,353.7017,176.9989,348.9279
1772.525,0,0,0,127,221,0,0,0,0,4.943526,14.57198,37.24379,353.5741,177.8918,349.1456
1772.539,0,0,0,128,222,0,0,0,0,4.941562,14.57402,37.24077,353.4521,178.7682,349.2901
1772.552,0,0,0,129,223,0,0,0,0,4.939586,14.57609,37.23785,353.2217,179.6763,349.3617
1772.567,0,0,0,130,224,0,0,0,0,4.937667,14.5781,37.23496,352.9419,180.6304,349.41
1772.581,0,0,0,131,225,0,0,0,0,4.935654,14.57991,37.23217,352.6673,181.585,349.4835
1772.596,0,0,0,132,226,0,0,0,0,4.933583,14.58157,37.22952,352.4265,182.5751,349.5576
1772.608,0,0,0,133,227,0,0,0,0,4.93157,14.58311,37.22696,352.2055,183.5969,349.6506
1772.622,0,0,0,134,228,0,0,0,0,4.929553,14.58458,37.22445,351.9612,184.6691,349.7635
1772.636,0,0,0,135,229,0,0,0,0,4.9275,14.58592,37.22198,351.6155,185.7207,349.8688
1772.649,0,0,0,136,230,0,0,0,0,4.925417,14.58723,37.21959,351.2677,186.7348,349.9316
1772.664,0,0,0,137,231,0,0,0,0,4.923343,14.58812,37.21738,350.8744,187.7173,349.99
1772.678,0,0,0,138,232,0,0,0,0,4.921393,14.58864,37.21522,350.6056,188.6695,350.0472
1772.692,0,0,0,139,233,0,0,0,0,4.919345,14.58914,37.21338,350.5597,189.5349,350.1339
1772.706,0,0,0,140,234,0,0,0,0,4.91726,14.58944,37.21161,350.6383,190.3477,350.1967
1772.72,0,0,0,140,235,0,0,0,0,4.915128,14.58973,37.20987,350.6749,191.1679,350.1795
1772.733,0,0,0,140,236,0,0,0,0,4.912968,14.59021,37.20817,350.6978,191.9676,350.1725
1772.748,0,0,0,140,237,0,0,0,0,4.910691,14.5907,37.20659,350.5932,192.7057,350.1884
1772.762,0,0,0,140,238,0,0,0,0,4.908445,14.59111,37.20505,350.4172,193.4035,350.1509
1772.776,0,0,0,140,239,0,0,0,0,4.906281,14.59149,37.20369,350.2649,194.0536,350.0267
1772.789,0,0,0,140,240,0,0,0,0,4.904062,14.59183,37.20247,350.1705,194.673,349.8778
1772.803,0,0,0,140,241,0,0,0,0,4.90181,14.59206,37.20134,350.0942,195.2994,349.7211
1772.818,0,0,0,140,242,0,0,0,0,4.899536,14.59225,37.20026,350.0273,195.911,349.5619
1772.831,0,0,0,140,243,0,0,0,0,4.897267,14.59248,37.19931,349.9787,196.4731,349.4339
1772.845,0,0,0,140,244,0,0,0,0,4.895129,14.59274,37.19842,349.9252,196.9791,349.321
1772.859,0,0,0,140,245,0,0,0,0,4.893034,14.59306,37.19763,349.9117,197.4213,349.2396
1772.873,0,0,0,140,246,0,0,0,0,4.890901,14.59331,37.19694,349.8594,197.8021,349.1501
1772.887,0,0,0,140,247,0,0,0,0,4.888754,14.59354,37.19629,349.777,198.1586,349.0845
1772.901,0,0,0,140,248,0,0,0,0,4.886664,14.59377,37.19563,349.6519,198.5188,349.0093
1772.915,0,0,0,140,249,0,0,0,0,4.884526,14.59401,37.19508,349.4923,198.8514,348.9207
1772.929,0,0,0,140,250,0,0,0,0,4.882381,14.59414,37.19449,349.2685,199.1981,348.8467
1772.943,0,0,0,140,251,0,0,0,0,4.88025,14.59415,37.1939,349.0461,199.5235,348.7604
1772.957,0,0,0,140,252,0,0,0,0,4.878227,14.59414,37.19336,348.8994,199.8333,348.6302
1772.97,0,0,0,140,253,0,0,0,0,4.876306,14.59409,37.19297,348.7935,200.1279,348.4926
1772.985,0,0,0,140,254,0,0,0,0,4.874503,14.594,37.19258,348.7384,200.3915,348.4063
1772.999,0,0,0,140,255,0,0,0,0,4.872758,14.59396,37.19225,348.702,200.6178,348.3621
1773.012,0,0,0,140,256,0,0,0,0,4.871084,14.59395,37.19189,348.6273,200.8318,348.3115
1773.026,0,0,0,140,257,0,0,0,0,4.869545,14.59383,37.19156,348.5318,201.0396,348.2511
1773.041,0,0,0,140,258,0,0,0,0,4.868265,14.59383,37.19135,348.4972,201.2346,348.1757
